Timestamp,Relative time (in days),T (°C),RH (%),CO2 (ppm),NO2 (ppb),O3 (ppb),NO (ppb),SO2 (ppb),CO (ppb),H2S (ppb),TVOC (µg/m3 eq.),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3)
2021-03-15T09:15:22.595793,0.000,14.14,51.49,623.54,2.11,,24.96,73.47,,0.10,1043.10,1.74,2.69,8.47
2021-03-15T09:18:22.862779,0.002,14.55,50.45,726.99,13.53,,20.10,15.56,,0.10,785.46,1.44,2.00,22.81
2021-03-15T09:21:23.090058,0.004,14.95,47.63,610.22,5.50,,20.24,8.12,,0.10,592.23,1.14,1.09,8.90
2021-03-15T09:24:23.333458,0.006,15.26,45.75,553.88,7.19,,19.61,5.93,,12.03,489.18,0.99,1.09,1.46
2021-03-15T09:27:23.561854,0.008,15.66,44.71,548.76,11.42,,20.88,4.75,,13.76,399.00,0.99,0.97,1.14
2021-03-15T09:30:23.786106,0.010,15.97,43.98,547.74,6.77,,19.47,4.25,,14.27,347.48,0.99,0.86,1.03
2021-03-15T09:33:23.910510,0.013,16.17,43.66,542.62,9.30,,19.85,3.75,,14.55,308.83,0.99,1.09,2.33
2021-03-15T09:36:24.069257,0.015,16.48,43.66,549.79,11.84,,21.07,3.58,,7.98,295.95,1.74,2.12,2.87
2021-03-15T09:39:24.278577,0.017,16.58,43.56,560.03,8.88,2.25,20.58,3.34,,2.93,270.18,13.93,31.00,89.66
2021-03-15T09:42:24.493026,0.019,16.78,42.72,554.91,5.92,0.24,20.34,3.14,,2.16,244.42,5.66,10.56,23.67
2021-03-15T09:45:24.726018,0.021,16.88,42.93,548.76,5.92,0.98,20.15,3.00,,1.77,231.54,2.65,5.88,22.60
2021-03-15T09:48:24.890335,0.023,16.98,42.83,544.67,7.61,3.52,21.12,3.05,,1.57,231.54,3.70,8.28,20.22
2021-03-15T09:51:25.030483,0.025,17.08,41.78,546.71,8.88,0.00,21.22,2.78,,1.35,244.42,4.30,7.71,22.16
2021-03-15T09:54:25.255878,0.027,17.19,42.30,549.79,7.19,3.82,20.63,2.46,,1.16,218.66,1.74,2.23,2.87
2021-03-15T09:57:25.421758,0.029,17.29,42.20,532.37,6.34,6.67,20.88,2.39,,1.04,180.01,1.29,1.32,1.79
2021-03-15T10:00:25.647345,0.031,17.29,41.99,547.74,5.92,8.10,21.12,2.33,,0.94,167.13,1.29,1.43,1.57
2021-03-15T10:03:25.859526,0.033,17.29,41.99,543.64,13.53,10.92,23.07,2.06,,0.88,167.13,1.44,1.89,2.33
2021-03-15T10:06:26.080923,0.035,17.29,41.99,545.69,8.88,11.61,21.07,2.12,,0.81,154.25,1.44,1.77,2.54
2021-03-15T10:09:26.328306,0.038,17.29,42.10,544.67,6.34,9.67,20.93,2.10,,0.76,141.36,2.20,6.80,51.60
2021-03-15T10:12:26.555621,0.040,17.39,41.78,545.69,5.50,7.65,20.83,2.08,438.28,0.70,141.36,1.74,2.34,4.27
2021-03-15T10:15:26.784559,0.042,17.29,41.68,532.37,8.88,9.36,21.36,2.04,416.17,0.66,128.48,1.89,2.80,4.16
2021-03-15T10:18:27.009118,0.044,17.39,41.68,547.74,6.77,11.61,20.78,1.99,392.12,0.63,128.48,1.59,2.00,3.19
2021-03-15T10:21:27.257978,0.046,17.39,41.78,533.40,8.46,9.66,21.02,1.92,370.76,0.59,115.60,1.74,2.12,2.43
2021-03-15T10:24:27.503644,0.048,17.39,41.57,539.54,6.34,14.91,21.31,1.75,346.71,0.57,115.60,1.59,1.77,2.87
2021-03-15T10:27:27.746776,0.050,17.49,41.36,544.67,13.53,14.66,21.95,1.72,333.12,0.53,102.72,1.59,1.89,2.33
2021-03-15T10:30:27.996190,0.052,17.39,41.36,537.50,6.77,11.61,20.68,1.85,315.54,0.52,102.72,1.59,2.00,3.08
2021-03-15T10:33:28.235638,0.054,17.49,41.36,548.76,7.61,14.76,21.22,1.85,309.72,0.50,102.72,1.74,2.46,3.73
2021-03-15T10:36:28.456754,0.056,17.49,41.16,535.45,11.42,15.42,22.04,1.68,297.42,0.48,89.84,1.74,2.00,2.65
2021-03-15T10:39:28.667365,0.058,17.59,41.26,545.69,8.88,18.34,21.27,1.64,280.81,0.46,89.84,1.44,1.89,2.54
2021-03-15T10:42:28.800528,0.060,17.59,40.84,541.59,5.92,16.33,21.12,1.63,270.13,0.44,89.84,1.89,2.57,7.07
2021-03-15T10:45:29.017839,0.063,17.59,40.43,538.52,8.88,14.60,21.27,1.60,262.04,0.43,76.95,1.74,2.12,2.54
2021-03-15T10:48:29.140475,0.065,17.69,40.22,552.86,10.57,16.02,21.46,1.54,252.44,0.40,64.07,1.74,2.34,5.99
2021-03-15T10:51:29.345284,0.067,17.79,39.90,545.69,12.26,14.44,21.80,1.56,244.68,0.39,64.07,1.74,2.12,2.54
2021-03-15T10:54:29.572647,0.069,17.90,39.90,540.57,8.03,21.94,21.27,1.57,236.48,0.38,64.07,1.89,2.46,3.62
2021-03-15T10:57:29.830576,0.071,17.90,39.59,551.84,8.46,15.28,21.46,1.57,230.33,0.37,51.19,1.59,2.34,4.05
2021-03-15T11:00:30.059055,0.073,17.90,39.38,544.67,7.19,17.68,21.75,1.55,223.64,0.36,51.19,1.59,2.12,2.43
2021-03-15T11:03:30.220634,0.075,17.90,39.28,547.74,9.30,16.92,21.75,1.38,215.77,0.35,51.19,1.74,2.34,2.76
2021-03-15T11:06:30.443757,0.077,18.00,39.07,544.67,12.26,18.93,21.90,1.36,211.67,0.34,38.31,1.44,1.55,1.79
2021-03-15T11:09:30.685644,0.079,18.00,38.96,550.81,13.96,16.60,22.34,1.34,208.98,0.33,38.31,1.44,2.00,2.65
2021-03-15T11:12:30.870537,0.081,18.10,38.65,552.86,9.30,16.92,21.85,1.45,202.61,0.31,25.43,1.29,1.55,1.79
2021-03-15T11:15:31.119073,0.083,18.10,38.75,542.62,14.80,20.12,23.02,1.27,199.59,0.31,25.43,1.59,1.89,2.22
2021-03-15T11:18:31.340119,0.085,18.10,38.02,537.50,14.80,19.37,22.58,1.26,193.88,0.29,12.54,1.59,1.89,2.43
2021-03-15T11:21:31.563238,0.088,18.20,38.44,540.57,11.42,18.04,22.19,1.34,189.56,0.29,12.54,2.50,3.37,3.62
2021-03-15T11:24:31.781963,0.090,18.20,37.92,543.64,8.46,19.77,22.97,1.35,187.19,0.29,12.54,9.27,17.87,50.30
2021-03-15T11:27:31.995597,0.092,18.20,38.23,552.86,27.49,20.82,30.37,1.08,190.10,0.28,25.43,3.25,5.77,13.22
2021-03-15T11:30:32.233489,0.094,18.30,38.23,550.81,13.53,18.40,22.14,1.37,184.28,0.28,89.84,2.04,2.80,4.91
2021-03-15T11:33:32.472028,0.096,18.30,38.34,544.67,7.61,21.12,22.29,1.40,178.88,0.28,25.43,1.74,2.34,2.76
2021-03-15T11:36:32.729095,0.098,18.40,38.44,537.50,7.19,19.92,22.19,1.43,176.62,0.28,12.54,1.44,1.77,3.08
2021-03-15T11:39:32.878869,0.100,18.40,38.34,547.74,11.84,19.61,22.92,1.30,173.81,0.27,12.54,1.89,2.69,4.16
2021-03-15T11:42:33.100089,0.102,18.40,38.65,551.84,13.11,17.58,22.19,1.37,173.81,0.27,12.54,2.50,3.03,3.41
2021-03-15T11:45:33.324140,0.104,18.50,38.23,539.54,14.38,21.17,23.60,1.24,173.27,0.26,-0.34,2.35,3.71,5.13
2021-03-15T11:48:33.561077,0.106,18.50,38.13,545.69,11.00,22.46,22.87,1.30,167.88,0.26,12.54,2.35,3.71,6.53
2021-03-15T11:51:33.787742,0.108,18.61,37.29,539.54,5.92,20.08,22.43,1.37,167.99,0.24,-0.34,2.50,3.83,8.80
2021-03-15T11:54:34.010370,0.110,18.71,37.61,539.54,7.61,21.12,22.68,1.38,166.37,0.24,-0.34,2.35,3.37,7.83
2021-03-15T11:57:34.234683,0.113,18.71,37.92,541.59,7.19,21.80,22.29,1.46,163.03,0.26,-0.34,2.95,3.71,4.05
2021-03-15T12:00:34.462803,0.115,18.81,38.13,535.45,8.03,21.94,22.87,1.40,161.95,0.25,-0.34,2.95,4.17,5.02
2021-03-15T12:03:34.684861,0.117,18.81,38.23,546.71,7.61,20.37,22.34,1.45,163.14,0.26,12.54,4.60,6.80,7.50
2021-03-15T12:06:34.928903,0.119,18.91,37.71,538.52,5.07,23.30,22.82,1.39,165.72,0.25,-0.34,2.04,2.46,2.76
2021-03-15T12:09:35.199046,0.121,19.01,38.23,533.40,5.92,27.57,22.29,1.46,163.68,0.25,-0.34,1.74,2.00,2.22
2021-03-15T12:12:35.391178,0.123,19.11,38.44,546.71,7.19,24.79,22.68,1.36,163.35,0.26,12.54,1.74,1.89,2.43
2021-03-15T12:15:35.630130,0.125,19.21,38.02,550.81,4.65,22.10,22.77,1.45,160.66,0.25,12.54,1.29,1.43,2.43
2021-03-15T12:18:35.857939,0.127,19.32,37.50,545.69,5.50,23.37,22.53,1.33,156.12,0.24,-0.34,0.99,1.20,1.57
2021-03-15T12:21:36.000186,0.129,19.32,37.08,543.64,8.03,23.44,23.21,1.32,154.29,0.22,-13.22,1.59,1.89,2.11
2021-03-15T12:24:36.222659,0.131,19.42,36.88,546.71,2.11,27.28,22.92,1.38,150.73,0.22,-13.22,2.35,2.92,3.19
2021-03-15T12:27:36.443609,0.133,19.52,36.56,535.45,4.65,24.35,23.31,1.31,145.12,0.20,-13.22,2.50,3.14,3.41
2021-03-15T12:30:36.682240,0.135,19.42,36.77,534.42,4.23,27.27,23.21,1.34,145.02,0.22,-26.10,2.50,3.94,4.70
2021-03-15T12:33:36.920227,0.138,19.52,36.67,542.62,8.88,25.08,23.41,1.25,142.32,0.21,-13.22,2.35,3.49,3.94
2021-03-15T12:36:37.150349,0.140,19.42,35.94,545.69,5.50,26.37,23.94,1.31,142.21,0.19,-26.10,2.80,3.60,8.15
